parameter_name,origin,black_box,calibration_status,type,default,min,max,notes
amber_threshold_lower,base_33,PA,CALIBRATE,float,0.5,0.3,0.7,Amber threshold lower bound
atr_calculation_period,base_33,PA,CALIBRATE,int,20,10,30,ATR period
base_dp_dt_multiplier,base_33,PA,CALIBRATE,float,1.0,0.5,2.0,Base price momentum multiplier
base_dv_dt_multiplier,base_33,PA,CALIBRATE,float,1.0,0.5,2.0,Base volume momentum multiplier
capital_allocation_mode,revision2_35,PositionManager,CALIBRATE,str,equal,0,0,Allocation mode
capital_per_trade_fraction,revision2_35,PositionManager,CALIBRATE,float,0.02,0.005,0.1,Capital per trade fraction
confirmation_2bar_weight,base_33,PA,CALIBRATE,float,0.25,0.1,0.4,2-bar confirmation
data_validation_mode,revision2_35,L2DataCertifier,HARD-CODE,str,strict,0,0,Validation mode
drawdown_derated_threshold,revision2_35,SafetyGates,HARD-CODE,float,0.18,0.1,0.25,Derated threshold
drawdown_halt_threshold,revision2_35,SafetyGates,HARD-CODE,float,0.25,0.15,0.35,Hard drawdown halt
drawdown_normal_threshold,revision2_35,SafetyGates,HARD-CODE,float,0.1,0.05,0.2,Normal drawdown threshold
entry_confidence_threshold,base_33,PA,CALIBRATE,float,0.5,0.3,0.8,Minimum signal confidence
entry_signal_smoothing_window,base_33,PA,CALIBRATE,int,3,1,8,Entry smoothing window
exclude_symbols,revision2_35,DataIngestion,HARD-CODE,list,[],0,0,Symbols excluded
exit_confidence_threshold,base_33,ID,CALIBRATE,float,0.6,0.4,0.9,Minimum exit confidence
exit_signal_smoothing_window,base_33,PA,CALIBRATE,int,2,1,4,Exit smoothing window
green_threshold,base_33,PA,CALIBRATE,float,0.75,0.6,0.95,Green signal threshold
high_vol_regime_multiplier,base_33,PA,CALIBRATE,float,1.0,0.8,1.5,High vol multiplier
learning_rate_exploration_factor,base_33,UnifiedExecution,CALIBRATE,float,0.05,0.01,0.1,Meta learning rate
limit_order_offset_percent,revision2_35,P01D,HARD-CODE,float,0.02,0.0,0.05,Limit offset
lot_size_by_symbol,revision2_35,PositionManager,HARD-CODE,dict,{},0,0,Per-symbol lot sizing
low_vol_regime_multiplier,base_33,PA,CALIBRATE,float,1.0,0.8,1.5,Low vol multiplier
max_hold_bars,base_33,MPC,CALIBRATE,int,60,20,120,Maximum hold bars
max_loss_per_day_rupees,revision2_35,SafetyGates,HARD-CODE,float,50000,10000,150000,Daily loss limit
max_loss_per_trade_rupees,revision2_35,SafetyGates,HARD-CODE,float,5000,1000,20000,Max loss per trade
max_positions_live,revision2_35,PositionManager,CALIBRATE,int,5,1,12,Max live positions
max_positions_per_symbol,revision2_35,PositionManager,CALIBRATE,int,1,1,3,Max per symbol
max_retry_attempts,revision2_35,P01D,HARD-CODE,int,2,0,5,Retry attempts
max_sector_exposure_fraction,revision2_35,PositionManager,HARD-CODE,float,0.3,0.1,0.6,Sector max exposure
max_symbol_concentration,revision2_35,PositionManager,HARD-CODE,float,0.05,0.01,0.15,Single symbol cap
medium_vol_regime_multiplier,base_33,PA,CALIBRATE,float,1.0,0.7,1.5,Medium vol multiplier
min_capital_buffer_fraction,revision2_35,PositionManager,CALIBRATE,float,0.1,0.05,0.3,Cash reserve fraction
min_hold_bars,base_33,MPC,CALIBRATE,int,2,1,5,Minimum hold bars
min_risk_reward_ratio,base_33,MPC,CALIBRATE,float,1.5,1.0,3.0,Minimum risk/reward
minimum_absolute_profit_rupees,base_33,MPC,CALIBRATE,float,50.0,0.0,200.0,Min profit floor
momentum_calculation_period,base_33,PA,CALIBRATE,int,20,10,30,Momentum period
momentum_weight,base_33,PA,CALIBRATE,float,0.25,0.1,0.4,Momentum weight
order_timeout_seconds,revision2_35,P01D,HARD-CODE,int,30,5,120,Order timeout
